Date,Open,High,Low,Close,Adj Close,Volume
2022-12-01,0.959200,0.961730,0.932100,0.932100,0.932100,0
2023-01-01,0.932100,0.953720,0.914700,0.921600,0.921600,0
2023-02-01,0.920730,0.949350,0.906900,0.942400,0.942400,0
2023-03-01,0.945420,0.950540,0.914997,0.917040,0.917040,0
2023-04-01,0.919800,0.926840,0.898600,0.898600,0.898600,0
2023-05-01,0.908190,0.938820,0.891900,0.931700,0.931700,0
2023-06-01,0.935000,0.937720,0.908170,0.920130,0.920130,0
2023-07-01,0.915900,0.922990,0.886860,0.907090,0.907090,0
2023-08-01,0.909290,0.928790,0.904290,0.914700,0.914700,0
2023-09-01,0.922160,0.953120,0.919050,0.944500,0.944500,0
2023-10-01,0.944500,0.956950,0.935410,0.942060,0.942060,0
2023-11-01,0.945260,0.950310,0.907700,0.911270,0.911270,0
2023-12-01,0.918100,1.088000,0.897710,0.904500,0.904500,0
2024-01-01,0.904500,0.926170,0.904700,0.922220,0.922220,0
2024-02-01,0.925590,0.934970,0.917600,0.922610,0.922610,0
